,职位名称,城市名称,发布时间,薪资范围,经验范围,学历要求,公司名称,公司介绍
127,底薪3000+包住+月薪过万销售代表,武汉,16:20,8k-12k,经验在校,应届,恩家房地产经纪,"['金融,房产家居 / 未融资 / 50-150人', '房地产｜建筑｜物业', '居住服务', '销售顾问', '市场', '“南湖销冠门店 晋升快 月入过万”']"
128,高级推荐算法工程师,深圳,16:20,35k-65k,经验5-10年,本科,OPPO,"['智能硬件 / 不需要融资 / 2000人以上', '人工智能服务', '内容社区', 'Python', 'Hadoop', 'Linux', '“公司平台大 核心团队”']"
129,java开发工程师,广州,16:20,13k-20k,经验1-3年,本科,微位科技,"['移动互联网 / B轮 / 50-150人', '信息安全', '网络通信', 'MyBatis', 'Tomcat', '“国家政策标准研究项目”']"
130,新媒体运营,北京,16:20,12k-20k,经验3-5年,本科,微淼财商,"['教育、数据服务 / 未融资 / 2000人以上', '在线教育', '用户运营', '内容运营', '“行业头部，发展空间大”']"
131,总经理助理,广州,16:20,10k-20k,经验3-5年,本科,暖暖直播,"['MCN｜直播平台 / 未融资 / 50-150人', '社交平台', 'MCN｜直播平台', '“周末双休；零食下午茶，优秀项目！”']"
132,产品经理,广州,16:20,6k-8k,经验1-3年,本科,见住科技,"['软件服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 15-50人', '批发｜零售', '房地产｜建筑｜物业', '基础业务产品', '广告产品', '商业｜交易产品', '“待遇从优”']"
133,医学光谱学算法工程师,上海,16:20,15k-30k,经验不限,硕士,晓樾智能,"['人工智能服务,医疗｜保健｜美容,智能硬件 / A轮 / 15-50人', '深度学习', '生物医学光子学', '电子信息工程', '模式识别', '医疗影像诊断', '“优秀候选人可以成为技术合伙人，享有股权激励”']"
134,大客户销售顾问-企业服务,上海,16:20,15k-30k,经验3-5年,大专,字节跳动,"['内容资讯,短视频 / D轮及以上 / 2000人以上', '扁平管理', '弹性工作', '就近租房补贴', '六险一金', '“团队氛围好,晋升空间大,带薪休假”']"
135,移动端开发工程师,北京,16:21,15k-25k,经验1-3年,本科,北京指南针,"['科技金融 / 上市公司 / 500-2000人', '科技金融', 'React', 'iOS', 'Android', '“五险一金 发展空间大 国内外旅游”']"
136,高级/资深c++开发工程师,武汉,16:21,20k-35k,经验3-5年,本科,青藤云安全,"['信息安全 / C轮 / 500-2000人', '信息安全', 'Windows', 'Linux', '“餐补 独角兽 核心部门”']"
137,抖音剪辑师,杭州,16:20,10k-15k,经验1-3年,大专,竟虚网络,"['营销服务｜咨询,影视｜动漫,新媒体 / 不需要融资 / 50-150人', '游戏', 'TO C', '“高薪”']"
138,CG渲染师,上海,16:20,12k-16k,经验5-10年,本科,SNH48,"['新媒体 / C轮 / 150-500人', '文化传媒', '3Dmax', 'C4D', '“做五休二”']"
139,行政人事专员,武汉,16:20,4k-6k,经验在校,应届,恩家房地产经纪,"['金融,房产家居 / 未融资 / 50-150人', 'HRBP', '招聘', '绩效管理', '“武汉三镇，就近分配”']"
140,高级数据开发工程师,深圳,16:20,25k-45k,经验3-5年,本科,OPPO,"['智能硬件 / 不需要融资 / 2000人以上', '人工智能服务', 'Hadoop', 'Spark', '“公司平台大 核心团队”']"
141,产品总监,深圳,16:20,25k-40k,经验5-10年,本科,微位科技,"['移动互联网 / B轮 / 50-150人', '信息安全', '网络通信', 'TO B', '“国家政策标准研究项目”']"
142,短视频运营,北京,16:20,12k-20k,经验3-5年,本科,微淼财商,"['教育、数据服务 / 未融资 / 2000人以上', '在线教育', 'IP运营', '用户运营', '内容运营', '“行业头部公司，发展空间大”']"
143,印尼语/马来语运营,广州,16:20,5k-7k,经验在校,应届,暖暖直播,"['MCN｜直播平台 / 未融资 / 50-150人', 'MCN｜直播平台', '社交平台', 'TO C', '海外用户', '“周末双休；零食下午茶；蓝海行业”']"
144,学徒工,广州,16:20,3k-4k,经验不限,不限,见住科技,"['软件服务｜咨询,IT技术服务｜咨询 / 不需要融资 / 15-50人', '房地产｜建筑｜物业', '“带薪学技能”']"
145,财务经理,上海,16:20,10k-20k,经验不限,本科,晓樾智能,"['人工智能服务,医疗｜保健｜美容,智能硬件 / A轮 / 15-50人', '人工智能服务', '“优秀候选人可以成为技术合伙人，享有股权激励”']"
146,银行外呼坐席,深圳,16:20,5k-10k,经验不限,不限,深圳市雅棉居品数据股份有限公司,"['移动互联网,消费生活 / 不需要融资 / 500-2000人', '营销服务｜咨询', '消费生活', '“优质客户资源收入无上限，朝九晚六，五险一金”']"
147,ue4技术美术,北京,16:20,15k-25k,经验3-5年,本科,亿利和,"['IT技术服务｜咨询 / 不需要融资 / 50-150人', 'C++', '可视化', 'shader', '“可视化行业 六险一金 每年2次旅游”']"
148,产品经理（初级）,长沙,16:20,6k-8k,经验1年以下,本科,金六谷医药物流,"['医疗|健康 / 未融资 / 150-500人', '软件服务｜咨询', '医疗｜保健｜美容', 'TO B', '“一对一带教 从零到一 晋升”']"
149,招聘专员,上海,16:20,5k-10k,经验不限,大专,金证睿服,"['软件服务｜咨询 / 上市公司 / 2000人以上', '软件服务｜咨询', 'IT技术服务｜咨询', '“晋升空间、氛围好”']"
